date,Close,High,Low,Open,Volume,log_return,abs_return,intraday_range,next_log_return,market_up,next_market_up,return_lag1,return_lag2,vol_5d,vol_20d,date_only,post_count,vader_mean,vader_std,vader_max_pos,vader_max_neg,finbert_mean,finbert_std,caps_ratio_mean,exclamation_mean,exclamation_max,max_engagement,mean_word_count,mention_count,reply_count,topic_elections,topic_rallies_campaign,topic_praise_thanks,topic_motivational,topic_media_attacks,topic_legal,topic_trump_identity,topic_rallies_nationalism,topic_trade_geopolitics,topic_economy_markets,topic_motivational_business,topic_endorsements,topic_sports,topic_book_promotion,topic_energy_environment,post_count_premarket,vader_mean_premarket,vader_std_premarket,vader_max_pos_premarket,vader_max_neg_premarket,finbert_mean_premarket,finbert_std_premarket,caps_ratio_mean_premarket,exclamation_mean_premarket,exclamation_max_premarket,max_engagement_premarket,mean_word_count_premarket,mention_count_premarket,reply_count_premarket,topic_elections_premarket,topic_rallies_campaign_premarket,topic_praise_thanks_premarket,topic_motivational_premarket,topic_media_attacks_premarket,topic_legal_premarket,topic_trump_identity_premarket,topic_rallies_nationalism_premarket,topic_trade_geopolitics_premarket,topic_economy_markets_premarket,topic_motivational_business_premarket,topic_endorsements_premarket,topic_sports_premarket,topic_book_promotion_premarket,topic_energy_environment_premarket,vader_3d_rolling,vader_7d_rolling,vader_momentum,emb_diversity,dominant_cluster,novelty_score,cluster_outlier,cluster_topic_0,cluster_topic_1,cluster_topic_10,cluster_topic_11,cluster_topic_12,cluster_topic_13,cluster_topic_2,cluster_topic_3,cluster_topic_4,cluster_topic_5,cluster_topic_6,cluster_topic_7,cluster_topic_8,cluster_topic_9
2009-05-04,907.24,907.85,879.21,879.21,7038840000,0.0338681739447535,0.0338681739447535,0.0325746977400165,-0.0037917199418016,1,0,,,,,2009-05-04,2.0,0.64835,0.17373613613753475,0.7712,0.5255,0.041841608472168446,0.004594118440253807,0.09906304899472965,1.0,1.0,7.278628942320682,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64835,0.64835,0.0,0.02002314,outlier,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2009-05-08,929.23,930.17,909.03,909.03,8163280000,0.0240690331610442,0.0240690331610442,0.0232555581223941,-0.0215124350268501,1,0,-0.0132023968766652,0.0174042929851736,0.019602793005268508,,2009-05-08,2.0,0.3234,0.457356666071459,0.6468,0.0,0.05083176027983427,0.01772630462208503,0.12002357255107386,0.5,1.0,3.8918202981106265,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6468,,0.6468,0.6468,0.038297370076179504,,0.11956521739130435,1.0,1.0,3.8918202981106265,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.485875,0.485875,-0.16247499999999998,0.021903167,outlier,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2009-05-12,908.35,915.57,896.46,910.52,6871750000,-0.0009788394703268,0.0009788394703268,0.0209880068532267,-0.0268949193592779,0,0,-0.0215124350268501,0.0240690331610442,0.019452462315512495,,2009-05-12,2.0,0.24045,0.3400476510726107,0.4809,0.0,-0.10933761298656464,0.16750478901930105,0.0847046723479283,0.0,0.0,8.086410275323782,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40406666666666663,0.40406666666666663,-0.16361666666666663,0.024908155,outlier,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2009-05-13,883.92,905.4,882.8,905.4,7091820000,-0.0268949193592779,0.0268949193592779,0.0249613430527943,0.0103516155308174,0,1,-0.0009788394703268,-0.0215124350268501,0.0202728269632155,,2009-05-13,1.0,0.7506,,0.7506,0.7506,0.08480226341634989,,0.07777777777777778,0.0,0.0,3.4657359027997265,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43815000000000004,0.4907,0.31245,0.0,topic_11,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2009-05-14,893.07,898.36,882.52,884.24,6134870000,0.0103516155308174,0.0103516155308174,0.0179136885913327,-0.0114100798369669,1,0,-0.0268949193592779,-0.0009788394703268,0.02138200451212297,,2009-05-14,1.0,0.2023,,0.2023,0.2023,0.013669794425368309,,0.05,0.0,0.0,3.7376696182833684,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3977833333333334,0.43302000000000007,-0.19548333333333337,0.0,topic_8,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2009-05-15,882.88,896.97,878.94,892.76,5439720000,-0.0114100798369669,0.0114100798369669,0.0201957973027465,0.0303891808626315,0,1,0.0103516155308174,-0.0268949193592779,0.015128556056268196,,2009-05-15,1.0,0.7506,,0.7506,0.7506,0.04036811739206314,,0.05319148936170213,0.0,0.0,3.9512437185814275,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5678333333333333,0.48595000000000005,0.18276666666666674,0.0,topic_11,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2009-05-18,909.71,910.0,886.07,886.07,5702150000,0.0303891808626315,0.0303891808626315,0.0270068956177276,-0.0017368172274681,1,0,-0.0114100798369669,0.0103516155308174,0.021706672063980102,,2009-05-18,1.0,0.5859,,0.5859,0.5859,0.02569296397268772,,0.04938271604938271,0.0,0.0,5.267858159063328,17.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4525333333333334,0.47165,0.13336666666666658,0.0,topic_8,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2009-05-19,908.13,916.39,905.22,909.67,6616270000,-0.0017368172274681,0.0017368172274681,0.0122791781635098,-0.0051314239150781,0,0,0.0303891808626315,-0.0114100798369669,0.02172040334748425,,2009-05-19,1.0,0.0,,0.0,0.0,0.058285946026444435,,0.03125,0.0,0.0,3.8066624897703196,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4525333333333334,0.4373,-0.4525333333333334,0.0,topic_8,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2009-05-20,903.47,924.6,901.37,908.62,8205060000,-0.0051314239150781,0.0051314239150781,0.0255662433140366,-0.0167576123169557,0,0,-0.0017368172274681,0.0303891808626315,0.016502148834463035,,2009-05-20,2.0,0.6249,0.0,0.6249,0.6249,0.04468159098178148,0.03932103797840723,0.06933406412715812,0.0,0.0,4.48863636973214,15.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.6249,,0.6249,0.6249,0.016877418383955956,,0.04878048780487805,0.0,0.0,4.48863636973214,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4036,0.41934285714285713,0.2213,0.019440612,outlier,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2009-05-21,888.33,900.42,879.61,900.42,6019840000,-0.0167576123169557,0.0167576123169557,0.0231114368850091,-0.001497191359067,0,0,-0.0051314239150781,-0.0017368172274681,0.018435966138194818,,2009-05-21,1.0,0.0,,0.0,0.0,-0.015051502734422684,,0.058823529411764705,0.0,0.0,5.0106352940962555,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20830000000000004,0.39044285714285715,-0.20830000000000004,0.0,topic_8,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
